start_date,end_date,model_name,run_name,batch_size,num_epochs,learning_rate,input_shape,gpu_type,epoch_duration_sec,max_gpu_memory_mb,activation_functions,num_parameters,num_classes,dropout_rate,train_sample_count,val_sample_count
2025-04-29 07:53:29,2025-04-29 07:53:41,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train5000_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,5000,100
2025-04-29 07:53:41,2025-04-29 07:56:17,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.0_train2000_epoch2,64,2,0.001,"(3, 384, 384)",Quadro RTX 6000,72.25,21846.36,['GELU'],86859496,1000,0.0,2000,100
2025-04-29 07:56:17,2025-04-29 07:56:30,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train2000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,100
2025-04-29 07:56:30,2025-04-29 08:08:35,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train5000_epoch4,64,4,0.001,"(3, 384, 384)",Quadro RTX 6000,178.3,21846.36,['GELU'],86859496,1000,0.1,5000,100
2025-04-29 08:08:35,2025-04-29 08:15:54,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train2000_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,71.21,21846.36,['GELU'],86859496,1000,0.3,2000,100
2025-04-29 08:15:54,2025-04-29 08:18:27,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train2000_epoch2,64,2,0.0001,"(3, 384, 384)",Quadro RTX 6000,71.21,21846.36,['GELU'],86859496,1000,0.1,2000,200
2025-04-29 08:18:27,2025-04-29 08:19:48,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train500_epoch4,64,4,0.001,"(3, 384, 384)",Quadro RTX 6000,17.86,21846.36,['GELU'],86859496,1000,0.3,500,200
2025-04-29 08:19:48,2025-04-29 08:27:08,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.3_train2000_epoch6,64,6,0.01,"(3, 384, 384)",Quadro RTX 6000,71.52,21846.36,['GELU'],86859496,1000,0.3,2000,200
2025-04-29 08:27:08,2025-04-29 08:27:23,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train5000_epoch6,FAILED,6,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,5000,200
2025-04-29 08:27:23,2025-04-29 08:28:48,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train500_epoch4,64,4,0.001,"(3, 384, 384)",Quadro RTX 6000,18.02,21846.36,['GELU'],86859496,1000,0.3,500,100
2025-04-29 08:28:48,2025-04-29 08:46:50,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.0_train5000_epoch6,64,6,0.0001,"(3, 384, 384)",Quadro RTX 6000,178.56,21846.36,['GELU'],86859496,1000,0.0,5000,100
2025-04-29 08:46:50,2025-04-29 08:47:06,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.0_train500_epoch6,FAILED,6,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,500,200
2025-04-29 08:47:06,2025-04-29 08:47:56,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train500_epoch2,64,2,0.001,"(3, 384, 384)",Quadro RTX 6000,18.09,21846.36,['GELU'],86859496,1000,0.3,500,100
2025-04-29 08:47:56,2025-04-29 09:06:04,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.0_train5000_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,178.78,21846.36,['GELU'],86859496,1000,0.0,5000,100
2025-04-29 09:06:04,2025-04-29 09:06:18,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.1_train500_epoch4,FAILED,4,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,500,100
2025-04-29 09:06:18,2025-04-29 09:06:34,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train500_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,500,100
2025-04-29 09:06:34,2025-04-29 09:06:48,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.1_train2000_epoch4,FAILED,4,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,200
2025-04-29 09:06:48,2025-04-29 09:08:51,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train500_epoch6,64,6,0.0001,"(3, 384, 384)",Quadro RTX 6000,17.72,21846.36,['GELU'],86859496,1000,0.1,500,200
2025-04-29 09:08:51,2025-04-29 09:09:06,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.1_train2000_epoch2,FAILED,2,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,200
2025-04-29 09:09:06,2025-04-29 09:15:17,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.3_train5000_epoch2,64,2,0.01,"(3, 384, 384)",Quadro RTX 6000,178.33,21846.36,['GELU'],86859496,1000,0.3,5000,200
