start_date,end_date,model_name,run_name,batch_size,num_epochs,learning_rate,input_shape,gpu_type,epoch_duration_sec,max_gpu_memory_mb,activation_functions,num_parameters,num_classes,dropout_rate,train_sample_count,val_sample_count
2025-05-04 19:29:13,2025-05-04 19:29:18,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.0_train500_epoch2,512,2,0.0001,"(3, 224, 224)",Quadro RTX 6000,1.46,14604.12,['GELU'],5717416,1000,0.0,500,100
2025-05-04 19:29:18,2025-05-04 19:29:28,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.3_train10000_epoch2,FAILED,2,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,10000,100
2025-05-04 19:29:28,2025-05-04 19:29:35,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train500_epoch2,FAILED,2,0.001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.5,500,100
2025-05-04 19:29:35,2025-05-04 19:29:45,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.3_train500_epoch2,FAILED,2,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,500,100
2025-05-04 19:29:45,2025-05-04 19:29:49,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.1_train500_epoch2,512,2,0.01,"(3, 224, 224)",Quadro RTX 6000,1.51,14604.12,['GELU'],5717416,1000,0.1,500,200
2025-05-04 19:29:49,2025-05-04 19:30:08,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.5_train2000_epoch4,512,4,0.1,"(3, 224, 224)",Quadro RTX 6000,4.35,14974.84,['GELU'],5717416,1000,0.5,2000,100
2025-05-04 19:30:08,2025-05-04 19:30:55,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.0_train5000_epoch4,512,4,0.01,"(3, 224, 224)",Quadro RTX 6000,11.36,14975.75,['GELU'],5717416,1000,0.0,5000,500
2025-05-04 19:30:55,2025-05-04 19:31:05,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.1_train5000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,5000,200
2025-05-04 19:31:05,2025-05-04 19:31:15,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.3_train10000_epoch6,FAILED,6,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,10000,100
2025-05-04 19:31:15,2025-05-04 19:31:24,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.0_train5000_epoch6,FAILED,6,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,5000,100
2025-05-04 19:31:24,2025-05-04 19:31:30,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.3_train500_epoch6,FAILED,6,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.3,500,500
2025-05-04 19:31:30,2025-05-04 19:32:15,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.0_train10000_epoch2,512,2,0.0001,"(3, 224, 224)",Quadro RTX 6000,21.94,14974.96,['GELU'],5717416,1000,0.0,10000,100
2025-05-04 19:32:15,2025-05-04 19:32:59,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train10000_epoch2,512,2,0.001,"(3, 224, 224)",Quadro RTX 6000,20.98,14974.96,['GELU'],5717416,1000,0.5,10000,100
2025-05-04 19:32:59,2025-05-04 19:33:04,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train10000_epoch6,FAILED,6,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,10000,500
2025-05-04 19:33:04,2025-05-04 19:33:47,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.5_train10000_epoch2,512,2,0.01,"(3, 224, 224)",Quadro RTX 6000,20.59,14974.96,['GELU'],5717416,1000,0.5,10000,500
2025-05-04 19:33:47,2025-05-04 19:33:57,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train10000_epoch4,FAILED,4,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,10000,200
